target	textid	text	pair	condition
non-entailment	2994	The doctor recognized the scientist who called the actor .	The scientist recognized the the actor .	lexical
non-entailment	2995	The lawyers advised the athlete that the artist contacted .	The artist advised the lawyers .	lexical
non-entailment	2996	The professors that encouraged the artists believed the doctor .	The doctor believed the professors .	lexical
non-entailment	2997	The artist encouraged the doctors who the athletes called .	The doctors encouraged the artist .	lexical
non-entailment	2998	The managers recognized the banker who avoided the athletes .	The banker recognized the managers .	lexical
non-entailment	2999	The doctor saw the scientist who helped the professor .	The professor saw the doctor .	lexical
non-entailment	3000	The authors advised the president that the scientist encouraged .	The president advised the scientist .	lexical
non-entailment	3001	The managers were advised by the athlete .	The managers advised the athlete .	lexical
non-entailment	3002	The lawyers were recommended by the doctor .	The lawyers recommended the doctor .	lexical
non-entailment	3003	The presidents were stopped by the artist .	The presidents stopped the artist .	lexical
non-entailment	3004	The managers were introduced by the scientists .	The managers introduced the scientists .	lexical
non-entailment	3005	The students were recognized by the president .	The students recognized the president .	lexical
non-entailment	3006	The professor was helped by the doctors .	The professor helped the doctors .	lexical
non-entailment	3007	The scientist was recommended by the doctor .	The scientist recommended the doctor .	lexical
non-entailment	3008	The lawyers were thanked by the senator .	The lawyers thanked the senator .	lexical
non-entailment	3009	The president was avoided by the students .	The president avoided the students .	lexical
non-entailment	3010	The manager was introduced by the professor .	The manager introduced the professor .	lexical
non-entailment	3011	The banker was avoided by the tourist .	The banker avoided the tourist .	lexical
non-entailment	3012	The scientists were thanked by the judge .	The scientists thanked the judge .	lexical
non-entailment	3013	The artists were believed by the professors .	The artists believed the professors .	lexical
non-entailment	3014	The students were encouraged by the athlete .	The students encouraged the athlete .	lexical
non-entailment	3015	The students were encouraged by the authors .	The students encouraged the authors .	lexical
non-entailment	3016	The artist was believed by the president .	The artist believed the president .	lexical
non-entailment	3017	The judge was recognized by the artist .	The judge recognized the artist .	lexical
non-entailment	3018	The doctors were thanked by the professors .	The doctors thanked the professors .	lexical
non-entailment	3019	The tourists were thanked by the artist .	The tourists thanked the artist .	lexical
non-entailment	3020	The authors were thanked by the bankers .	The authors thanked the bankers .	lexical
non-entailment	3021	The authors were recommended by the doctors .	The authors recommended the doctors .	lexical
non-entailment	3022	The lawyers were mentioned by the scientist .	The lawyers mentioned the scientist .	lexical
non-entailment	3023	The secretary was thanked by the doctor .	The secretary thanked the doctor .	lexical
non-entailment	3024	The scientist was contacted by the lawyers .	The scientist contacted the lawyers .	lexical
non-entailment	3025	The artists were stopped by the manager .	The artists stopped the manager .	lexical
non-entailment	3026	The athlete was mentioned by the lawyers .	The athlete mentioned the lawyers .	lexical
non-entailment	3027	The tourist was recommended by the athlete .	The tourist recommended the athlete .	lexical
non-entailment	3028	The athlete was supported by the doctors .	The athlete supported the doctors .	lexical
non-entailment	3029	The judge was encouraged by the managers .	The judge encouraged the managers .	lexical
non-entailment	3030	The doctor was supported by the professor .	The doctor supported the professor .	lexical
non-entailment	3031	The judge was encouraged by the scientist .	The judge encouraged the scientist .	lexical
non-entailment	3032	The doctor was avoided by the artist .	The doctor avoided the artist .	lexical
non-entailment	3033	The doctor was recommended by the students .	The doctor recommended the students .	lexical
non-entailment	3034	The manager was supported by the author .	The manager supported the author .	lexical
non-entailment	3035	The scientists were stopped by the lawyers .	The scientists stopped the lawyers .	lexical
non-entailment	3036	The doctor was recognized by the bankers .	The doctor recognized the bankers .	lexical
non-entailment	3037	The authors were recognized by the lawyer .	The authors recognized the lawyer .	lexical
non-entailment	3038	The professors were recommended by the doctors .	The professors recommended the doctors .	lexical
non-entailment	3039	The presidents were mentioned by the scientists .	The presidents mentioned the scientists .	lexical
non-entailment	3040	The presidents were helped by the author .	The presidents helped the author .	lexical
non-entailment	3041	The scientists were encouraged by the author .	The scientists encouraged the author .	lexical
non-entailment	3042	The lawyers were admired by the doctor .	The lawyers admired the doctor .	lexical
non-entailment	3043	The lawyer was avoided by the senators .	The lawyer avoided the senators .	lexical
non-entailment	3044	The author was avoided by the scientists .	The author avoided the scientists .	lexical
non-entailment	3045	The tourist was admired by the presidents .	The tourist admired the presidents .	lexical
non-entailment	3046	The managers were stopped by the students .	The managers stopped the students .	lexical
non-entailment	3047	The lawyer was believed by the judge .	The lawyer believed the judge .	lexical
non-entailment	3048	The artists were admired by the lawyer .	The artists admired the lawyer .	lexical
non-entailment	3049	The actor was introduced by the senators .	The actor introduced the senators .	lexical
non-entailment	3050	The students were helped by the presidents .	The students helped the presidents .	lexical
non-entailment	3051	The author was introduced by the athlete .	The author introduced the athlete .	lexical
non-entailment	3052	The senator was encouraged by the judges .	The senator encouraged the judges .	lexical
non-entailment	3053	The scientists were recommended by the doctor .	The scientists recommended the doctor .	lexical
non-entailment	3054	The scientist was contacted by the lawyer .	The scientist contacted the lawyer .	lexical
non-entailment	3055	The president was mentioned by the athletes .	The president mentioned the athletes .	lexical
non-entailment	3056	The artists were supported by the lawyers .	The artists supported the lawyers .	lexical
non-entailment	3057	The lawyers were mentioned by the artists .	The lawyers mentioned the artists .	lexical
non-entailment	3058	The judges were encouraged by the athletes .	The judges encouraged the athletes .	lexical
non-entailment	3059	The doctor was supported by the president .	The doctor supported the president .	lexical
non-entailment	3060	The senators were helped by the authors .	The senators helped the authors .	lexical
non-entailment	3061	The judge was recommended by the professors .	The judge recommended the professors .	lexical
non-entailment	3062	The author was thanked by the secretary .	The author thanked the secretary .	lexical
non-entailment	3063	The tourist was introduced by the lawyers .	The tourist introduced the lawyers .	lexical
non-entailment	3064	The athlete was believed by the scientists .	The athlete believed the scientists .	lexical
non-entailment	3065	The secretary was admired by the athlete .	The secretary admired the athlete .	lexical
non-entailment	3066	The students were supported by the artist .	The students supported the artist .	lexical
non-entailment	3067	The judge was recognized by the professors .	The judge recognized the professors .	lexical
non-entailment	3068	The lawyer was encouraged by the secretaries .	The lawyer encouraged the secretaries .	lexical
non-entailment	3069	The judges were believed by the professor .	The judges believed the professor .	lexical
non-entailment	3070	The student was admired by the authors .	The student admired the authors .	lexical
non-entailment	3071	The author was contacted by the athlete .	The author contacted the athlete .	lexical
non-entailment	3072	The artists were encouraged by the scientists .	The artists encouraged the scientists .	lexical
non-entailment	3073	The manager was advised by the secretaries .	The manager advised the secretaries .	lexical
non-entailment	3074	The scientists were contacted by the actor .	The scientists contacted the actor .	lexical
non-entailment	3075	The doctor was thanked by the senators .	The doctor thanked the senators .	lexical
non-entailment	3076	The doctors were introduced by the athlete .	The doctors introduced the athlete .	lexical
non-entailment	3077	The bankers were thanked by the judge .	The bankers thanked the judge .	lexical
non-entailment	3078	The tourists were introduced by the author .	The tourists introduced the author .	lexical
non-entailment	3079	The managers were introduced by the scientist .	The managers introduced the scientist .	lexical
non-entailment	3080	The actor was stopped by the lawyer .	The actor stopped the lawyer .	lexical
non-entailment	3081	The actors were mentioned by the presidents .	The actors mentioned the presidents .	lexical
non-entailment	3082	The artists were introduced by the judge .	The artists introduced the judge .	lexical
non-entailment	3083	The actors were mentioned by the lawyers .	The actors mentioned the lawyers .	lexical
non-entailment	3084	The authors were admired by the artist .	The authors admired the artist .	lexical
non-entailment	3085	The actors were mentioned by the lawyer .	The actors mentioned the lawyer .	lexical
non-entailment	3086	The author was supported by the presidents .	The author supported the presidents .	lexical
non-entailment	3087	The scientists were recommended by the secretary .	The scientists recommended the secretary .	lexical
non-entailment	3088	The lawyers were contacted by the secretary .	The lawyers contacted the secretary .	lexical
non-entailment	3089	The scientists were believed by the secretaries .	The scientists believed the secretaries .	lexical
non-entailment	3090	The athletes were avoided by the professors .	The athletes avoided the professors .	lexical
non-entailment	3091	The judge was supported by the student .	The judge supported the student .	lexical
non-entailment	3092	The professor was contacted by the author .	The professor contacted the author .	lexical
non-entailment	3093	The secretary was encouraged by the athlete .	The secretary encouraged the athlete .	lexical
non-entailment	3094	The tourist was mentioned by the lawyers .	The tourist mentioned the lawyers .	lexical
non-entailment	3095	The scientist was introduced by the student .	The scientist introduced the student .	lexical
non-entailment	3096	The presidents were helped by the professors .	The presidents helped the professors .	lexical
non-entailment	3097	The tourists were mentioned by the athlete .	The tourists mentioned the athlete .	lexical
non-entailment	3098	The doctor was helped by the actor .	The doctor helped the actor .	lexical
non-entailment	3099	The secretaries were advised by the professor .	The secretaries advised the professor .	lexical
non-entailment	3100	The student was introduced by the scientist .	The student introduced the scientist .	lexical
non-entailment	3101	The manager was avoided by the athlete .	The manager avoided the athlete .	lexical
non-entailment	3102	The senator was mentioned by the professors .	The senator mentioned the professors .	lexical
non-entailment	3103	The president was thanked by the student .	The president thanked the student .	lexical
non-entailment	3104	The students were introduced by the athlete .	The students introduced the athlete .	lexical
non-entailment	3105	The athlete was stopped by the doctor .	The athlete stopped the doctor .	lexical
non-entailment	3106	The managers were thanked by the doctor .	The managers thanked the doctor .	lexical
non-entailment	3107	The scientist was mentioned by the student .	The scientist mentioned the student .	lexical
non-entailment	3108	The author was recognized by the artist .	The author recognized the artist .	lexical
non-entailment	3109	The scientists were admired by the professors .	The scientists admired the professors .	lexical
non-entailment	3110	The presidents were advised by the judges .	The presidents advised the judges .	lexical
non-entailment	3111	The artist was recognized by the judges .	The artist recognized the judges .	lexical
non-entailment	3112	The artists were introduced by the judges .	The artists introduced the judges .	lexical
non-entailment	3113	The doctor was mentioned by the actors .	The doctor mentioned the actors .	lexical
non-entailment	3114	The presidents were avoided by the senators .	The presidents avoided the senators .	lexical
non-entailment	3115	The lawyer was introduced by the president .	The lawyer introduced the president .	lexical
non-entailment	3116	The artist was encouraged by the actors .	The artist encouraged the actors .	lexical
non-entailment	3117	The athlete was recognized by the lawyers .	The athlete recognized the lawyers .	lexical
non-entailment	3118	The manager was helped by the presidents .	The manager helped the presidents .	lexical
non-entailment	3119	The scientists were contacted by the student .	The scientists contacted the student .	lexical
non-entailment	3120	The secretary was believed by the doctors .	The secretary believed the doctors .	lexical
non-entailment	3121	The athletes were encouraged by the student .	The athletes encouraged the student .	lexical
non-entailment	3122	The secretary was stopped by the scientists .	The secretary stopped the scientists .	lexical
non-entailment	3123	The tourists were stopped by the scientists .	The tourists stopped the scientists .	lexical
non-entailment	3124	The tourists were helped by the actors .	The tourists helped the actors .	lexical
non-entailment	3125	The doctor was stopped by the manager .	The doctor stopped the manager .	lexical
non-entailment	3126	The athletes were believed by the author .	The athletes believed the author .	lexical
non-entailment	3127	The bankers were admired by the lawyers .	The bankers admired the lawyers .	lexical
non-entailment	3128	The actor was contacted by the doctors .	The actor contacted the doctors .	lexical
non-entailment	3129	The actor was admired by the scientist .	The actor admired the scientist .	lexical
non-entailment	3130	The athlete was contacted by the author .	The athlete contacted the author .	lexical
non-entailment	3131	The secretaries were mentioned by the lawyer .	The secretaries mentioned the lawyer .	lexical
non-entailment	3132	The lawyer was thanked by the scientists .	The lawyer thanked the scientists .	lexical
non-entailment	3133	The doctors were encouraged by the scientists .	The doctors encouraged the scientists .	lexical
non-entailment	3134	The students were supported by the bankers .	The students supported the bankers .	lexical
non-entailment	3135	The tourists were believed by the author .	The tourists believed the author .	lexical
non-entailment	3136	The scientist was advised by the secretaries .	The scientist advised the secretaries .	lexical
non-entailment	3137	The tourist was encouraged by the senator .	The tourist encouraged the senator .	lexical
non-entailment	3138	The doctor was contacted by the judges .	The doctor contacted the judges .	lexical
non-entailment	3139	The managers were stopped by the judges .	The managers stopped the judges .	lexical
non-entailment	3140	The doctors were encouraged by the judge .	The doctors encouraged the judge .	lexical
non-entailment	3141	The artists were advised by the author .	The artists advised the author .	lexical
non-entailment	3142	The judge was contacted by the president .	The judge contacted the president .	lexical
non-entailment	3143	The athletes were advised by the judge .	The athletes advised the judge .	lexical
non-entailment	3144	The senator was supported by the doctor .	The senator supported the doctor .	lexical
non-entailment	3145	The managers were contacted by the scientists .	The managers contacted the scientists .	lexical
non-entailment	3146	The artist was introduced by the senator .	The artist introduced the senator .	lexical
non-entailment	3147	The athlete was helped by the bankers .	The athlete helped the bankers .	lexical
non-entailment	3148	The secretary was admired by the student .	The secretary admired the student .	lexical
non-entailment	3149	The athletes were admired by the scientist .	The athletes admired the scientist .	lexical
non-entailment	3150	The actor was encouraged by the tourists .	The actor encouraged the tourists .	lexical
non-entailment	3151	The lawyers were recommended by the tourist .	The lawyers recommended the tourist .	lexical
non-entailment	3152	The secretaries were contacted by the senator .	The secretaries contacted the senator .	lexical
non-entailment	3153	The judge was contacted by the bankers .	The judge contacted the bankers .	lexical
non-entailment	3154	The banker was stopped by the scientist .	The banker stopped the scientist .	lexical
non-entailment	3155	The lawyers were encouraged by the senators .	The lawyers encouraged the senators .	lexical
non-entailment	3156	The athlete was stopped by the lawyer .	The athlete stopped the lawyer .	lexical
non-entailment	3157	The president was advised by the professors .	The president advised the professors .	lexical
non-entailment	3158	The doctors were recommended by the athlete .	The doctors recommended the athlete .	lexical
non-entailment	3159	The athletes were helped by the artists .	The athletes helped the artists .	lexical
non-entailment	3160	The actors were admired by the senator .	The actors admired the senator .	lexical
non-entailment	3161	The presidents were recommended by the artists .	The presidents recommended the artists .	lexical
non-entailment	3162	The students were mentioned by the artists .	The students mentioned the artists .	lexical
non-entailment	3163	The manager was believed by the banker .	The manager believed the banker .	lexical
non-entailment	3164	The manager was believed by the scientist .	The manager believed the scientist .	lexical
non-entailment	3165	The manager was supported by the students .	The manager supported the students .	lexical
non-entailment	3166	The athlete was thanked by the tourist .	The athlete thanked the tourist .	lexical
non-entailment	3167	The scientist was avoided by the doctors .	The scientist avoided the doctors .	lexical
non-entailment	3168	The students were helped by the scientist .	The students helped the scientist .	lexical
non-entailment	3169	The banker was supported by the doctors .	The banker supported the doctors .	lexical
non-entailment	3170	The banker was recognized by the scientist .	The banker recognized the scientist .	lexical
non-entailment	3171	The authors were supported by the banker .	The authors supported the banker .	lexical
non-entailment	3172	The students were supported by the tourist .	The students supported the tourist .	lexical
non-entailment	3173	The professors were advised by the manager .	The professors advised the manager .	lexical
non-entailment	3174	The presidents were thanked by the actor .	The presidents thanked the actor .	lexical
non-entailment	3175	The student was introduced by the scientists .	The student introduced the scientists .	lexical
non-entailment	3176	The athlete was supported by the banker .	The athlete supported the banker .	lexical
non-entailment	3177	The secretaries were introduced by the artists .	The secretaries introduced the artists .	lexical
non-entailment	3178	The secretaries were contacted by the artists .	The secretaries contacted the artists .	lexical
non-entailment	3179	The managers were believed by the doctor .	The managers believed the doctor .	lexical
non-entailment	3180	The judge was recognized by the senator .	The judge recognized the senator .	lexical
non-entailment	3181	The actor was encouraged by the doctors .	The actor encouraged the doctors .	lexical
non-entailment	3182	The authors were advised by the senators .	The authors advised the senators .	lexical
non-entailment	3183	The athlete was advised by the bankers .	The athlete advised the bankers .	lexical
non-entailment	3184	The secretaries were admired by the professor .	The secretaries admired the professor .	lexical
non-entailment	3185	The tourist was supported by the secretary .	The tourist supported the secretary .	lexical
non-entailment	3186	The authors were avoided by the president .	The authors avoided the president .	lexical
non-entailment	3187	The president was thanked by the artist .	The president thanked the artist .	lexical
non-entailment	3188	The judges were thanked by the student .	The judges thanked the student .	lexical
non-entailment	3189	The banker was contacted by the president .	The banker contacted the president .	lexical
non-entailment	3190	The judges were avoided by the manager .	The judges avoided the manager .	lexical
non-entailment	3191	The actors were mentioned by the students .	The actors mentioned the students .	lexical
non-entailment	3192	The athletes were stopped by the actors .	The athletes stopped the actors .	lexical
non-entailment	3193	The actor was admired by the artist .	The actor admired the artist .	lexical
non-entailment	3194	The authors were avoided by the actors .	The authors avoided the actors .	lexical
non-entailment	3195	The artist was believed by the bankers .	The artist believed the bankers .	lexical
non-entailment	3196	The banker was avoided by the professors .	The banker avoided the professors .	lexical
non-entailment	3197	The students were advised by the actor .	The students advised the actor .	lexical
non-entailment	3198	The senator was helped by the scientists .	The senator helped the scientists .	lexical
non-entailment	3199	The judges were advised by the artist .	The judges advised the artist .	lexical
non-entailment	3200	The secretary was supported by the lawyer .	The secretary supported the lawyer .	lexical
non-entailment	3201	The lawyers were encouraged by the scientists .	The lawyers encouraged the scientists .	lexical
non-entailment	3202	The secretaries were mentioned by the author .	The secretaries mentioned the author .	lexical
non-entailment	3203	The banker was believed by the actor .	The banker believed the actor .	lexical
non-entailment	3204	The tourists were encouraged by the lawyers .	The tourists encouraged the lawyers .	lexical
non-entailment	3205	The author was advised by the managers .	The author advised the managers .	lexical
non-entailment	3206	The judges were stopped by the professors .	The judges stopped the professors .	lexical
non-entailment	3207	The lawyers were believed by the artists .	The lawyers believed the artists .	lexical
non-entailment	3208	The actors were admired by the athlete .	The actors admired the athlete .	lexical
non-entailment	3209	The author was stopped by the actor .	The author stopped the actor .	lexical
non-entailment	3210	The lawyers were stopped by the president .	The lawyers stopped the president .	lexical
non-entailment	3211	The authors were thanked by the doctors .	The authors thanked the doctors .	lexical
non-entailment	3212	The lawyer was contacted by the tourist .	The lawyer contacted the tourist .	lexical
non-entailment	3213	The artists were admired by the student .	The artists admired the student .	lexical
non-entailment	3214	The professors were admired by the bankers .	The professors admired the bankers .	lexical
non-entailment	3215	The actor was encouraged by the artists .	The actor encouraged the artists .	lexical
non-entailment	3216	The professor was admired by the athletes .	The professor admired the athletes .	lexical
non-entailment	3217	The president was introduced by the tourists .	The president introduced the tourists .	lexical
non-entailment	3218	The judge was avoided by the banker .	The judge avoided the banker .	lexical
non-entailment	3219	The lawyer was avoided by the secretaries .	The lawyer avoided the secretaries .	lexical
non-entailment	3220	The professor was encouraged by the secretary .	The professor encouraged the secretary .	lexical
non-entailment	3221	The senator was avoided by the student .	The senator avoided the student .	lexical
non-entailment	3222	The presidents were stopped by the doctors .	The presidents stopped the doctors .	lexical
non-entailment	3223	The lawyers were helped by the judge .	The lawyers helped the judge .	lexical
non-entailment	3224	The lawyers were avoided by the actor .	The lawyers avoided the actor .	lexical
non-entailment	3225	The athletes were contacted by the actors .	The athletes contacted the actors .	lexical
non-entailment	3226	The professor was believed by the manager .	The professor believed the manager .	lexical
non-entailment	3227	The banker was introduced by the president .	The banker introduced the president .	lexical
non-entailment	3228	The senators were contacted by the scientist .	The senators contacted the scientist .	lexical
non-entailment	3229	The athletes were encouraged by the president .	The athletes encouraged the president .	lexical
non-entailment	3230	The tourists were mentioned by the judge .	The tourists mentioned the judge .	lexical
non-entailment	3231	The secretaries were thanked by the athlete .	The secretaries thanked the athlete .	lexical
non-entailment	3232	The senator was recognized by the artists .	The senator recognized the artists .	lexical
non-entailment	3233	The students were contacted by the judge .	The students contacted the judge .	lexical
non-entailment	3234	The athlete was mentioned by the bankers .	The athlete mentioned the bankers .	lexical
non-entailment	3235	The secretary was introduced by the judges .	The secretary introduced the judges .	lexical
non-entailment	3236	The judge was encouraged by the lawyers .	The judge encouraged the lawyers .	lexical
non-entailment	3237	The lawyers were thanked by the tourist .	The lawyers thanked the tourist .	lexical
non-entailment	3238	The president was stopped by the author .	The president stopped the author .	lexical
non-entailment	3239	The doctor was encouraged by the actor .	The doctor encouraged the actor .	lexical
non-entailment	3240	The banker was encouraged by the athletes .	The banker encouraged the athletes .	lexical
non-entailment	3241	The artists were supported by the scientists .	The artists supported the scientists .	lexical
non-entailment	3242	The judge was introduced by the actor .	The judge introduced the actor .	lexical
non-entailment	3243	The actors were advised by the scientists .	The actors advised the scientists .	lexical
non-entailment	3244	The authors were contacted by the actor .	The authors contacted the actor .	lexical
non-entailment	3245	The doctors were contacted by the lawyer .	The doctors contacted the lawyer .	lexical
non-entailment	3246	The senators were stopped by the student .	The senators stopped the student .	lexical
non-entailment	3247	The president was avoided by the artist .	The president avoided the artist .	lexical
non-entailment	3248	The scientist was introduced by the athlete .	The scientist introduced the athlete .	lexical
non-entailment	3249	The secretary was contacted by the actor .	The secretary contacted the actor .	lexical
non-entailment	3250	The presidents were encouraged by the secretary .	The presidents encouraged the secretary .	lexical
non-entailment	3251	The managers were thanked by the bankers .	The managers thanked the bankers .	lexical
non-entailment	3252	The actors were encouraged by the president .	The actors encouraged the president .	lexical
non-entailment	3253	The artist was introduced by the doctors .	The artist introduced the doctors .	lexical
non-entailment	3254	The doctors were stopped by the manager .	The doctors stopped the manager .	lexical
non-entailment	3255	The manager was advised by the lawyer .	The manager advised the lawyer .	lexical
non-entailment	3256	The scientist was believed by the actors .	The scientist believed the actors .	lexical
non-entailment	3257	The tourists were advised by the scientists .	The tourists advised the scientists .	lexical
non-entailment	3258	The presidents were avoided by the banker .	The presidents avoided the banker .	lexical
non-entailment	3259	The doctor was recognized by the author .	The doctor recognized the author .	lexical
non-entailment	3260	The author was advised by the professor .	The author advised the professor .	lexical
non-entailment	3261	The authors were avoided by the senators .	The authors avoided the senators .	lexical
non-entailment	3262	The doctor was introduced by the scientist .	The doctor introduced the scientist .	lexical
non-entailment	3263	The senator was stopped by the doctor .	The senator stopped the doctor .	lexical
non-entailment	3264	The secretary was contacted by the athletes .	The secretary contacted the athletes .	lexical
non-entailment	3265	The athlete was admired by the lawyer .	The athlete admired the lawyer .	lexical
non-entailment	3266	The tourist was advised by the scientist .	The tourist advised the scientist .	lexical
non-entailment	3267	The students were believed by the senators .	The students believed the senators .	lexical
non-entailment	3268	The athlete was encouraged by the judge .	The athlete encouraged the judge .	lexical
non-entailment	3269	The bankers were recommended by the student .	The bankers recommended the student .	lexical
non-entailment	3270	The presidents were helped by the banker .	The presidents helped the banker .	lexical
non-entailment	3271	The lawyer was advised by the secretary .	The lawyer advised the secretary .	lexical
non-entailment	3272	The senator was introduced by the managers .	The senator introduced the managers .	lexical
non-entailment	3273	The lawyer was recommended by the scientists .	The lawyer recommended the scientists .	lexical
non-entailment	3274	The actor was mentioned by the authors .	The actor mentioned the authors .	lexical
non-entailment	3275	The authors were believed by the athlete .	The authors believed the athlete .	lexical
non-entailment	3276	The lawyers were thanked by the judge .	The lawyers thanked the judge .	lexical
non-entailment	3277	The presidents were helped by the actors .	The presidents helped the actors .	lexical
non-entailment	3278	The president was stopped by the managers .	The president stopped the managers .	lexical
non-entailment	3279	The judges were supported by the secretary .	The judges supported the secretary .	lexical
non-entailment	3280	The student was contacted by the banker .	The student contacted the banker .	lexical
non-entailment	3281	The bankers were encouraged by the lawyer .	The bankers encouraged the lawyer .	lexical
non-entailment	3282	The manager was encouraged by the tourists .	The manager encouraged the tourists .	lexical
non-entailment	3283	The artists were admired by the author .	The artists admired the author .	lexical
non-entailment	3284	The students were advised by the professors .	The students advised the professors .	lexical
non-entailment	3285	The athlete was advised by the senator .	The athlete advised the senator .	lexical
non-entailment	3286	The secretary was stopped by the tourists .	The secretary stopped the tourists .	lexical
non-entailment	3287	The managers were avoided by the athlete .	The managers avoided the athlete .	lexical
non-entailment	3288	The lawyer was advised by the actor .	The lawyer advised the actor .	lexical
non-entailment	3289	The actors were encouraged by the artist .	The actors encouraged the artist .	lexical
non-entailment	3290	The manager was believed by the doctors .	The manager believed the doctors .	lexical
non-entailment	3291	The authors were avoided by the actor .	The authors avoided the actor .	lexical
non-entailment	3292	The doctors were stopped by the judges .	The doctors stopped the judges .	lexical
non-entailment	3293	The judge was thanked by the author .	The judge thanked the author .	lexical
non-entailment	3294	The scientist was thanked by the lawyers .	The scientist thanked the lawyers .	lexical
non-entailment	3295	The manager was mentioned by the judge .	The manager mentioned the judge .	lexical
non-entailment	3296	The secretaries were introduced by the actors .	The secretaries introduced the actors .	lexical
non-entailment	3297	The senators were believed by the authors .	The senators believed the authors .	lexical
non-entailment	3298	The athletes were contacted by the presidents .	The athletes contacted the presidents .	lexical
non-entailment	3299	The actor was encouraged by the lawyer .	The actor encouraged the lawyer .	lexical
non-entailment	3300	The managers were advised by the actor .	The managers advised the actor .	lexical
non-entailment	3301	The athlete was encouraged by the scientist .	The athlete encouraged the scientist .	lexical
non-entailment	3302	The scientists were advised by the artist .	The scientists advised the artist .	lexical
non-entailment	3303	The secretaries were thanked by the author .	The secretaries thanked the author .	lexical
non-entailment	3304	The judge was contacted by the lawyer .	The judge contacted the lawyer .	lexical
non-entailment	3305	The presidents were stopped by the athlete .	The presidents stopped the athlete .	lexical
non-entailment	3306	The bankers were helped by the tourist .	The bankers helped the tourist .	lexical
non-entailment	3307	The managers were admired by the banker .	The managers admired the banker .	lexical
non-entailment	3308	The tourists were introduced by the artist .	The tourists introduced the artist .	lexical
non-entailment	3309	The senator was advised by the actor .	The senator advised the actor .	lexical
non-entailment	3310	The artists were recognized by the scientists .	The artists recognized the scientists .	lexical
non-entailment	3311	The bankers were supported by the lawyers .	The bankers supported the lawyers .	lexical
non-entailment	3312	The manager was encouraged by the actors .	The manager encouraged the actors .	lexical
non-entailment	3313	The student was supported by the judge .	The student supported the judge .	lexical
non-entailment	3314	The actor was recognized by the judge .	The actor recognized the judge .	lexical
non-entailment	3315	The tourists were admired by the authors .	The tourists admired the authors .	lexical
non-entailment	3316	The scientists were advised by the professors .	The scientists advised the professors .	lexical
non-entailment	3317	The author was contacted by the actors .	The author contacted the actors .	lexical
non-entailment	3318	The scientists were supported by the professors .	The scientists supported the professors .	lexical
non-entailment	3319	The judge was recommended by the bankers .	The judge recommended the bankers .	lexical
non-entailment	3320	The tourists were contacted by the lawyer .	The tourists contacted the lawyer .	lexical
non-entailment	3321	The doctors were introduced by the lawyers .	The doctors introduced the lawyers .	lexical
non-entailment	3322	The senators were mentioned by the actors .	The senators mentioned the actors .	lexical
non-entailment	3323	The managers were advised by the banker .	The managers advised the banker .	lexical
non-entailment	3324	The artists were supported by the bankers .	The artists supported the bankers .	lexical
non-entailment	3325	The lawyers were advised by the bankers .	The lawyers advised the bankers .	lexical
non-entailment	3326	The manager was supported by the secretary .	The manager supported the secretary .	lexical
non-entailment	3327	The secretary was mentioned by the lawyer .	The secretary mentioned the lawyer .	lexical
non-entailment	3328	The banker was mentioned by the artist .	The banker mentioned the artist .	lexical
non-entailment	3329	The tourist was mentioned by the doctors .	The tourist mentioned the doctors .	lexical
non-entailment	3330	The doctors were contacted by the athletes .	The doctors contacted the athletes .	lexical
non-entailment	3331	The senator was advised by the tourist .	The senator advised the tourist .	lexical
non-entailment	3332	The secretaries were contacted by the actors .	The secretaries contacted the actors .	lexical
non-entailment	3333	The bankers were introduced by the president .	The bankers introduced the president .	lexical
non-entailment	3334	The doctor was mentioned by the artists .	The doctor mentioned the artists .	lexical
non-entailment	3335	The authors were helped by the students .	The authors helped the students .	lexical
non-entailment	3336	The secretary was recognized by the doctors .	The secretary recognized the doctors .	lexical
non-entailment	3337	The president was encouraged by the students .	The president encouraged the students .	lexical
non-entailment	3338	The professor was introduced by the scientists .	The professor introduced the scientists .	lexical
non-entailment	3339	The lawyer was recognized by the secretaries .	The lawyer recognized the secretaries .	lexical
non-entailment	3340	The senators were believed by the athletes .	The senators believed the athletes .	lexical
non-entailment	3341	The senators were avoided by the secretaries .	The senators avoided the secretaries .	lexical
non-entailment	3342	The athletes were recommended by the tourist .	The athletes recommended the tourist .	lexical
non-entailment	3343	The bankers were stopped by the doctors .	The bankers stopped the doctors .	lexical
non-entailment	3344	The professors were avoided by the authors .	The professors avoided the authors .	lexical
non-entailment	3345	The senators were advised by the lawyer .	The senators advised the lawyer .	lexical
non-entailment	3346	The doctor was stopped by the bankers .	The doctor stopped the bankers .	lexical
non-entailment	3347	The lawyers were introduced by the presidents .	The lawyers introduced the presidents .	lexical
non-entailment	3348	The authors were contacted by the tourists .	The authors contacted the tourists .	lexical
non-entailment	3349	The scientists were thanked by the athlete .	The scientists thanked the athlete .	lexical
non-entailment	3350	The scientists were mentioned by the authors .	The scientists mentioned the authors .	lexical
non-entailment	3351	The manager was stopped by the senator .	The manager stopped the senator .	lexical
non-entailment	3352	The manager was thanked by the judges .	The manager thanked the judges .	lexical
non-entailment	3353	The actors were contacted by the judges .	The actors contacted the judges .	lexical
non-entailment	3354	The actors were believed by the lawyers .	The actors believed the lawyers .	lexical
